210,242,80,100.0
Z197,28
Z64,0
Z51,0
Z70,39
Z198,5
Z103,4
Z123,2
Z106,0
Z135,4
Z78,2
Z152,5
Z107,3
Z193,2
Z97,0
Z134,2
Z91,4
Z155,3
Z26,0
Z204,5
Z4,2
Z139,3
Z146,2
Z181,0
Z45,15
Z28,6
Z49,4
Z43,1
Z118,4
Z136,3
Z20,5
Z131,1
Z133,0
Z40,9
Z84,14
Z34,3
Z145,3
Z32,4
Z164,16
Z7,8
Z129,15
Z11,4
Z161,2
Z186,30
Z200,3
Z92,5
Z6,40
Z142,3
Z12,2
Z99,3
Z31,0
Z59,2
Z16,2
Z33,5
Z0,2
Z85,2
Z56,5
Z162,9
Z57,4
Z149,1
Z109,2
Z112,5
Z54,0
Z205,2
Z130,4
Z21,5
Z52,0
Z9,0
Z108,9
Z62,0
Z113,3
Z153,0
Z168,4
Z120,0
Z167,1
Z8,9
Z36,0
Z50,2
Z156,2
Z17,0
Z157,2
Z174,2
Z81,0
Z151,4
Z5,2
Z184,2
Z68,6
Z94,2
Z35,4
Z160,6
Z42,2
Z191,0
Z203,3
Z80,0
Z22,3
Z140,1
Z114,2
Z58,2
Z126,3
Z87,5
Z208,3
Z195,7
Z125,4
Z82,0
Z169,2
Z18,37
Z47,3
Z1,5
Z110,2
Z65,2
Z132,4
Z60,0
Z73,4
Z39,2
Z102,2
Z86,0
Z154,11
Z15,0
Z74,6
Z44,5
Z150,10
Z79,9
Z66,2
Z90,4
Z180,2
Z173,1
Z166,3
Z124,4
Z67,4
Z177,2
Z96,7
Z29,32
Z13,2
Z182,7
Z178,24
Z137,0
Z185,3
Z121,8
Z2,1
Z192,3
Z201,4
Z83,4
Z138,3
Z105,12
Z199,10
Z38,5
Z159,5
Z206,6
Z122,2
Z143,4
Z72,2
Z144,11
Z19,2
Z175,3
Z116,9
Z100,2
Z37,1
Z75,8
Z48,5
Z27,4
Z95,2
Z98,2
Z41,2
Z63,0
Z93,4
Z147,4
Z141,3
Z111,3
Z104,2
Z127,2
Z71,2
Z170,2
Z171,2
Z179,2
Z30,9
Z61,2
Z10,1
Z209,2
Z117,2
Z190,2
Z158,2
Z172,3
Z89,2
Z187,0
Z88,2
Z183,3
Z128,2
Z24,2
Z189,2
Z101,0
Z25,0
Z23,23
Z119,0
Z207,7
Z188,0
Z148,3
Z69,0
Z14,7
Z115,3
Z176,2
Z76,0
Z55,0
Z202,1
Z46,36
Z53,3
Z163,0
Z77,0
Z194,2
Z3,4
Z196,25
Z165,0
R62,Z151,Z118
R105,Z45,Z134
R46,Z128,Z142
R75,Z63,Z197
R40,Z63,Z91
R70,Z164,Z79
R166,Z106,Z123
R197,Z106,Z193
R157,Z78,Z97
R134,Z78,Z155
R86,Z4,Z181
R229,Z4,Z26
R220,Z146,Z20
R119,Z146,Z43
R227,Z173,Z166
R184,Z124,Z67
R11,Z177,Z96
R76,Z177,Z29
R58,Z67,Z182
R101,Z136,Z84
R202,Z32,Z34
R165,Z136,Z131
R79,Z129,Z186
R187,Z32,Z11
R41,Z129,Z142
R207,Z129,Z6
R61,Z59,Z12
R2,Z175,Z19
R177,Z93,Z135
R68,Z175,Z105
R181,Z22,Z42
R135,Z147,Z50
R51,Z181,Z51
R175,Z155,Z175
R38,Z162,Z54
R90,Z27,Z95
R112,Z52,Z105
R176,Z167,Z157
R198,Z27,Z48
R188,Z27,Z98
R219,Z207,Z162
R95,Z79,Z38
R47,Z59,Z0
R131,Z57,Z162
R215,Z16,Z59
R236,Z109,Z52
R93,Z57,Z54
R80,Z109,Z108
R72,Z9,Z153
R52,Z38,Z199
R224,Z187,Z81
R209,Z206,Z159
R103,Z101,Z139
R97,Z204,Z198
R239,Z127,Z70
R208,Z164,Z13
R43,Z164,Z131
R106,Z164,Z84
R32,Z164,Z139
R15,Z9,Z62
R29,Z36,Z17
R111,Z130,Z168
R155,Z36,Z120
R228,Z156,Z184
R136,Z156,Z151
R150,Z5,Z94
R123,Z153,Z17
R71,Z160,Z54
R162,Z5,Z68
R14,Z160,Z35
R233,Z113,Z8
R160,Z70,Z203
R87,Z190,Z127
R49,Z176,Z31
R232,Z190,Z172
R141,Z190,Z170
R206,Z31,Z209
R78,Z171,Z134
R132,Z158,Z110
R210,Z158,Z108
R109,Z48,Z200
R234,Z61,Z117
R56,Z79,Z195
R81,Z61,Z209
R4,Z191,Z123
R203,Z191,Z42
R13,Z80,Z203
R59,Z71,Z86
R201,Z80,Z22
R237,Z114,Z126
R211,Z114,Z140
R22,Z96,Z171
R125,Z99,Z53
R21,Z98,Z85
R50,Z190,Z30
R148,Z50,Z85
R0,Z182,Z33
R124,Z76,Z15
R8,Z97,Z99
R167,Z197,Z91
R31,Z88,Z187
R137,Z174,Z209
R173,Z72,Z79
R171,Z150,Z88
R172,Z21,Z92
R89,Z139,Z125
R213,Z144,Z44
R114,Z72,Z89
R231,Z126,Z174
R39,Z144,Z6
R143,Z143,Z122
R20,Z44,Z206
R12,Z58,Z208
R35,Z87,Z125
R19,Z58,Z84
R99,Z82,Z6
R118,Z87,Z195
R77,Z169,Z1
R217,Z3,Z18
R225,Z47,Z110
R121,Z47,Z65
R122,Z47,Z60
R223,Z151,Z166
R73,Z166,Z10
R82,Z183,Z16
R235,Z197,Z193
R64,Z172,Z0
R116,Z84,Z131
R84,Z143,Z168
R120,Z172,Z170
R163,Z137,Z60
R26,Z196,Z69
R168,Z194,Z2
R102,Z132,Z160
R24,Z1,Z182
R96,Z39,Z102
R45,Z39,Z73
R138,Z77,Z179
R169,Z71,Z15
R152,Z154,Z6
R67,Z154,Z44
R92,Z74,Z79
R199,Z74,Z124
R221,Z201,Z118
R222,Z120,Z86
R127,Z115,Z11
R193,Z201,Z144
R182,Z144,Z119
R226,Z163,Z14
R10,Z14,Z176
R34,Z172,Z148
R146,Z121,Z20
R139,Z65,Z115
R142,Z121,Z205
R153,Z121,Z35
R7,Z46,Z102
R129,Z56,Z130
R36,Z141,Z46
R9,Z117,Z176
R238,Z26,Z116
R53,Z73,Z141
R154,Z66,Z100
R55,Z96,Z93
R218,Z126,Z149
R104,Z19,Z63
